,year,country,case,complaining_work,defending_work,complaining_author,defending_author
0,1973,US,Strachborneo v. Arc Music,MOJO Workout,Got My Mojo Working,Ruth Stratchborneo,McKinley Morganfield
0,1975,UK,Mood Music v. De Wolfe,Sogno Nostalgico,Girl in the Dark,Armando Sciascia,Jack Trombey
0,1976,US,Granite Music v. United Artists,Tiny Bubbles,Hiding the Wine,Leon Pober,Ernest Gold
0,1978,US,Ferguson v. National Broadcasting Company,Jeannie Michele,"Theme from ""A Time to Love""",Wilma Ferguson,John Williams
0,1978,US,Herald Square Music v. Living Music,Day by Day,"Theme for N.B.C.'s ""Today Show""",Stephen Schwartz,Ray Ellis
0,1980,US,Elsmere Music v. N.B.C.,"""I Love New York"" (advertising jingle)",National Broadcasting Company,Steve Karman,National Broadcasting Company
0,1980,US,Testa v. Janssen,Kept on Singing,Keep on Singing,Philip J. Lipari,Danny Janssen and Bobby Hart
0,1982,CA,Gondos v. Hardy ,Variations,"The Homecoming, Moment of Love",Ivan Gondos,"Hagood Hardy, Rudy and Jerry Toth"
0,1984,US,Selle v. Gibb,Let It End,Barry Gibb et al.,Ronald Selle,Barry Gibb et al.
0,1985,UK,Lawson v. Dundas,Channel 4 Jingle,Channel 4 Jingle,David Lawson,David Dundas
0,1986,US,Anheuser Busch v. Elsmere Music,Budweiser Beer Commercial (1970s),Budweiser Beer Commercial (1985),Steve Karmen,Gavin Spencer
0,1986,US,Benson v. Coca-Cola,Don't Cha Know,I'd Like to Buy the World a Coke,John Benson,Coca-Cola Company
0,1987,US,Baxter v. MCA,Joy,Theme from 'E.T.',Leslie Baxter,John Williams
0,1987,US,Siskind v. Newton-John,Take a Chance on Love,Take a Chance,Laura Siskind,Olivia Newton-John
0,1987,CA,Verge v. Imperial Oil Ltd. ,It's a Brand New World,Hockey Night Theme,Cyril Verge,Steven Benderoth
0,1987,UK,Warner Bros. v. Dundas,Martha,Advertisement for Kenco Coffee,Tom Waits,David Dundas
0,1987,UK,Williamson v. Pearson Partnership,"""There is Nothing Like a Dame""",Advertisement for Rapid Coach Service,Rogers & Hammerstein,Denis King
0,1988,US,Gaste v. Morris Kaiserman,Pour Toi,Feelings,Louis Gaste,Morris Kaiserman
0,1989,AU,CBS Records Australia v. Guy Cross ,Ring My Bell (CBS Version),Ring My Bell (Trackdown Version),Collette Roberts,Guy Cross
0,1991,CA,Grignon v. Roussel,Chanson Numero 7,Tous Les Juke-box,Rene Grignon,Jean-Alain Roussel
0,1991,US,Intersong-USA v. CBS,Es,Hey,Enrique Chia,"Mario Balducci, Julio Iglesias"
0,1991,US,McDonald v. Multimedia Entertainment,"Proposed Theme Music for ""Sally Jesse Raphael Show""","Theme Music for ""Sally Jesse Raphael Show""",Gerard McDonald,Dan Radlauer
0,1992,US,Chiate v. Morris,Hello It's Me / I Just Called to Say,I Just Called to Say I Love You,Lloyd Chiate,Stevland Morris
0,1992,US,Moore v. Columbia Pictures,She Can't Stand It,"On Our Own (from ""Ghostbusters II"")",Derrick D. Moore,Antonio Reid and Kenny Edmonds
0,1993,US,Jarvis v. A & M Records,The Music's Got Me,Get Dumb! (Free Your Body),Boyd Jarvis,Robert Clivilles and David Cole
0,1994,CA,Drynan v. Rostad,Filion Family Welcome,Here We Are On the Road Again,James Drynan,Wayne Rostad
0,1994,US,Campbell v. Acuff-Rose,"Oh, Pretty Woman","Oh, Pretty Woman",Williams Dees and Roy Orbison,Luther Campbell
0,1994,US,Fantasy v. Fogerty,Run Through the Jungle,The Old Man Down the Road,John Fogerty,John Fogerty
0,1994,US,Tin Pan Apple v. Miller Brewing,Stick 'em,TV ad for Miller Lite,Morales and Robertson [Fat Boys],Miller Brewing Co.
0,1995,US,Crystal Cartier v. Michael Jackson,Dangerous,Dangerous,Crystal Cartier,Michael Jackson
0,1995,US,La Cienega Music Co. v. ZZ Top,Boogie Chillen,La Grange,John Hooker and Bernard Besman,"William Gibbons, et al."
0,1996,US,Palmieri v. Estefan,Paginas De Mujer,Oye Mi Canto,Eddie Palmieri,Gloria Estefan
0,1996,US,Santrayll v. Burrell,Uh Oh,"Pepsi Ad featuring ""Hammer""",Rene Santrayll & Michael Walker,Stanley Kirk Burrell
0,1996,US,Smith v. Michael Jackson,Don't Let the Sunshine / Happy Go Lucky Girl,The Girl is Mine,Robert Smith and Reynard Jones,Michael Jackson
0,1997,US,Damiano v. Sony,Miscellaneous lyrics and instrumental arrangement,Dignity,James Damiano,Bob Dylan
0,1997,US,McRae v. Smith,"Every Minute, Every Hour, Every Day",Every Second,Maree McRae,Wayne Perry and Gerald Smith
0,1997,US,Repp v. Webber,Till You,Phantom Song,Ray Repp,Andrew Lloyd-Webber
0,1997,US,Tuff 'N' Rumble v. Profile Records,Impeach the President,Back from Hell,Robert Plant et al.,Joseph Simmonds et al.
0,1999,US,Ellis v. Diffie,Lay Me Out By the Jukebox When I Die,Prop Me Up Beside the Jukebox (If I Die),Everett Ellis,Joe Diffie
0,1999,US,Selletti v. Carey,Hero,Hero,Christopher Selletti,Mariah Carey
0,1999,US,Suzane McKinley v. Collin Raye,I Think About You,I Think About You,Suzane McKinley,Steve Seskin & Collin Raye
0,1999,US,ZZ Top v. Chrysler Corp.,La Grange,Promotional video for Plymouth Prowler,"Billy Gibbons, et al.",Chrysler Corporation
0,2000,US,Armstrong v. Virgin Records,Planetary Citizen,Unfinished Sympathy,"John McLaughlin, et al.","Robert Del Naja, et al"
0,2000,US,Three Boys Music v. Michael Bolton,Love is a Wonderful Thing,Love is a Wonderful Thing,Isley Brothers,Michael Bolton and Andrew Goldmark
0,2000,US,Tisi v. Patrick,Sell Your Soul,Take A Picture,Michael Tisi,Richard Patrick
0,2001,US,Oliviera v. Frito-Lay,Girl from Ipenama,Frito-Lay TV ad,Astrud Gilberto,Frito-Lay Corp.
0,2001,US,Marlon Williams v. Calvin Broadus,The Symphony,Ghetto Symphony,Marlon Williams,Calvin Broadus
0,2001,US,Toliver v. Sony Music,Independent Lady,Independent Women,Paula Toliver,Destiny's Child
0,2002,US,Jean et al. v. Bug Music,Hand Clapping Song,My Love is Your Love,"Leo Nocentelli, et al.",Nel Wyclef Jean and Jerry Duplessis
0,2002,UK,Malmstedt v. EMI Records,Jenny and I,Sleeping in my Car,Stephan Malmstedt,Per Gessle
0,2003,US,Cottrill v. Spears,What You See is What You Get,"What U See is What U Get, Can't Make You Love Me",Michael Cottrill and Lawrence Wnukowski,"Jorgen Elufsson, David Kreuger, Per Magnusson, Rami Yacoub"
0,2003,US,Newton v. Diamond,Choir,Pass the Mic,James W. Newton,"Adam Yauch, et al."
0,2003,US,Ory v. Country Joe McDonald,Muskrat Ramble,I Feel Like I'm Fixin' to  Die Rag,"Edward ""Kid"" Ory",Joe McDonald
0,2003,US,Jorgensen v. Epic/Sony Records,Long Lost Lover,"My Heart Will Go On, Amazed",John L. Jorgensen,"James Horner, Will Jennings, Chris Lindsey, Aimee Mayo and Marv Green"
0,2004,PRC,Apollo v. Coca Cola ,When the Sun Rises,Sunrise,Apollo Inc.,Coca-Cola (China) Inc.
0,2004,US,Swirsky v. Carey,One of Those Love Songs,Thank God I Found You,Seth Swirsky and Warryn Campbell,Mariah Carey
0,2004,US,Ulloa v. Universal,Brief countermelody to defendant's song,Izzo (H.O.V.A.),Demme Ulloa,Shawn Carter
0,2005,US,BMS Entertainment v. Bridges,Straight Like That,Stand Up,"Ramid Brown, et al.",Christopher Bridges
0,2005,US,"Bridgeport Music v. Dimension Films, et al.",Get Off Your Ass and Jam,100 Miles and Runnin',George Clinton,"Eric Wright, et al."
0,2005,UK,Coffey v. Warner/Chappell Music,Forever After,Nothing Really Mattters,Elizabeth Coffey,Patrick Leonard & Madonna Ciccone
0,2005,US,Johnson v. Gordon,You’re the One (For Me),You’re the One,Calvin R. Johnson,"Allen Gordon Jr., et al."
0,2005,US,Positive Black Talk v. Cash Money Records,Back That Ass Up,Back That Azz Up,"Jerome Temple (""Jubilee"")","Terius Gray (""Juvenile"")"
0,2005,US,Vargas v. Pfizer,Bust Dat Groove Without Ride,Advertisement for Celebrex,Ralph Vargas and Bland-Ricky Roberts,"Brian Transeau, et al."
0,2005,PRC,Yong Wang v. Zhengben Zhu ,Send My Comrade to Beijing,Farewell to the Red Army,Yong Wang,Zhengben Zhu
0,2006,US,Boone v. Jackson,Holla Back,Young 'N,"Carl Boone (""Trajik"")","John Jackson (""Fabolous"")"
0,2007,US,Armour v. Knowles,Got a Little Bit of Love for You,Baby Boy,Jennifer Armour,Beyoncé Knowles
