,case,complaining,artist,title,link
0,"Bridgeport Music, Inc. v. UMG Recordings, Inc",True,George Clinton,“Atomic Dog”,https://blogs.law.gwu.edu/mcir/files/2018/12/atomicdog-1tdeawu.mp3
0,Irving Berlin et al. v. E.C. Publications,True,Irving Berlin,“A Pretty Girl is Like a Melody”,https://blogs.law.gwu.edu/mcir/files/2018/12/aprettygirlislikeamelody-20ybde0.mp3
0,Arnstein v. Porter,True,,“Modern Messiah”,https://blogs.law.gwu.edu/mcir/files/2018/12/amodernmessiah-275gk4o.mp3
1,"Bridgeport Music v. Dimension Films, et al.",False,"Dimension Films, et al.",“100 Miles and Runnin'”,https://blogs.law.gwu.edu/mcir/files/2018/12/100miles-2j1yl30.mp3
0,Smith v. Michael Jackson,False,“Don’t Let the Sunshine”,“Don’t Let the Sunshine”,http://mcir.usc.edu/audio_video/cases/thegirlismine.wma
1,Baron v. Leo Feist,False,Jeri Sullivan and Paul Baron,Jeri Sullivan and Paul Baron,http://mcir.usc.edu/audio_video/cases/rumcocacola.wma
1,Arnstein v. Edward Marks,False,Emery Deutsch and Arthur Altman,Emery Deutsch and Arthur Altman,http://mcir.usc.edu/audio_video/cases/playfiddleplay.wma
0,Arnstein v. Edward Marks,True,Ira Arnstein,“I Love You Madly”,http://mcir.usc.edu/audio_video/cases/iloveyoumadly.wma
1,Arnstein v. Porter,True,,“The Lord Is My Shepherd”,https://blogs.law.gwu.edu/mcir/files/2018/12/thelordismyshepherd-1u6clj9.mp3
2,Arnstein v. Porter,True,,“A Mother’s Prayer”,https://blogs.law.gwu.edu/mcir/files/2018/12/amothersprayer-12wzcyf.mp3
3,Arnstein v. Porter,True,,“I Love You Madly “,https://blogs.law.gwu.edu/mcir/files/2018/12/iloveyoumadly1-25903z1.mp3
4,Arnstein v. Porter,True,,“Sadness O’erwhelms My Soul”,https://blogs.law.gwu.edu/mcir/files/2018/12/sadnessoerwhelmsmysoul-258m3q0.mp3
5,Arnstein v. Porter,True,,“Twilight Waltz”,https://blogs.law.gwu.edu/mcir/files/2018/12/twilightwaltz-2e0vlow.mp3
7,Arnstein v. Porter,False,,“Begin The Beguine”,https://blogs.law.gwu.edu/mcir/files/2018/12/beginthebeguine-28rqlup.mp3
8,Arnstein v. Porter,False,,“Begin The Beguine”,https://blogs.law.gwu.edu/mcir/files/2018/12/myheartbelongstodaddy-1ligyd1.mp3
9,Arnstein v. Porter,False,,“Night And Day”,https://blogs.law.gwu.edu/mcir/files/2018/12/nightandday-1khur9i.mp3
11,Arnstein v. Porter,False,,“What Is This Thing Called Love”,https://blogs.law.gwu.edu/mcir/files/2018/12/whatisthisthingcalledlove-169znwn.mp3
0,Baron v. Leo Feist,True,,Lionel Belasco and Massie Patterson,http://mcir.usc.edu/audio_video/cases/lanneepassee.wma
2,Cottrill v. Spears,False,,“Can’t Make You Love Me”,https://blogs.law.gwu.edu/mcir/files/2018/12/cantmakeyouloveme-11bllxe.mp3
1,Jorgensen v. Epic/Sony Records,False,,“My Heart Will Go On”,https://blogs.law.gwu.edu/mcir/files/2018/12/CelineDion-MyHeartWillGoOn-13kl5g0.mp3
