,case,complaining,artist,title,link
1,"Shapiro, Bernstein v. Miracle Record",False,Alphonso Tompkins and Lewis Simpkins,Alphonso Tompkins and Lewis Simpkins,https://blogs.law.gwu.edu/mcir/files/2018/12/longgone-14nud2q.mp3
0,Selle v. Gibb,True,Ronald Selle,“Let It End”,https://blogs.law.gwu.edu/mcir/files/2018/12/letitend-19g1rz6.mp3
0,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,True,Marion Sinclair,“Kookaburra Sits in the Old Gum Tree”,https://blogs.law.gwu.edu/mcir/files/2018/12/larrikin_kookaburra-2lr6t0n.mp3
1,Larrikin Music Publishing Ltd. v. EMI Songs Australia Ltd.,False,Colin James Hay (“Men at Work”) and Ronald Graham Strykert,Colin James Hay (“Men at Work”) and Ronald Graham Strykert,https://blogs.law.gwu.edu/mcir/files/2018/12/larrikin_downunder-2fdz21r.mp3
1,La Cienega Music Co. v. ZZ Top,False,ZZ Top,“La Grange”,https://blogs.law.gwu.edu/mcir/files/2018/12/lagrange-15gq5vr.mp3
0,ZZ Top v. Chrysler Corp.,True,ZZ Top,“La Grange”,https://blogs.law.gwu.edu/mcir/files/2018/12/lagrange-15gq5vr.mp3
0,Hirsch v. Paramount Pictures,True,Hortense Hirsch,“Lady of Love”,https://blogs.law.gwu.edu/mcir/files/2018/12/ladyoflove-2glso63.mp3
0,Testa v. Janssen,True,Philip J. Lipari,“Kept on Singing”,https://blogs.law.gwu.edu/mcir/files/2018/12/keeponsinginglipari-1ybbjq4.mp3
1,Testa v. Janssen,False,Danny Janssen and Bobby Hart,Danny Janssen and Bobby Hart,https://blogs.law.gwu.edu/mcir/files/2018/12/keeponsingingjanssen-1u8dngm.mp3
1,"Fred Fisher, Inc. v. Dillingham",False,Jerome Kern,Jerome Kern,https://blogs.law.gwu.edu/mcir/files/2018/12/kalua-rpyskg.mp3
0,Arnstein v. Twentieth Century Fox,True,Ira Arnstein,“Kalamazoo”,https://blogs.law.gwu.edu/mcir/files/2018/12/kalamazoo-25enlxk.mp3
0,Jones v. Supreme Music,True,Thelma Jones,“Just an Old Fashioned Mother and Dad”,https://blogs.law.gwu.edu/mcir/files/2018/12/justanoldfashionedmotheranddad-2dqeoei.mp3
0,Baxter v. MCA,True,Leslie Baxter,“Joy”,https://blogs.law.gwu.edu/mcir/files/2018/12/joy-12svq7e.mp3
1,Loomis v. Cornish,False,Jessica Cornish,“Domino”,https://blogs.law.gwu.edu/mcir/files/2018/12/JessieJ-DominoEdited-2cc6ixa.mp3
0,Ferguson v. National Broadcasting Company,True,Wilma Ferguson,“Jeannie Michele”,https://blogs.law.gwu.edu/mcir/files/2018/12/jeanniemichele-2gz6ssg.mp3
0,Ulloa v. Universal,False,Brief countermelody to defendant’s song,Brief countermelody to defendant’s song,https://blogs.law.gwu.edu/mcir/files/2018/12/izzo-27qbky4.mp3
1,Arnstein v. Twentieth Century Fox,False,Harry Warren,Harry Warren,https://blogs.law.gwu.edu/mcir/files/2018/12/ivegotagalinkalamazoo-1ou71yd.mp3
0,Suzane McKinley v. Collin Raye,False,“I Think About You”,“I Think About You”,https://blogs.law.gwu.edu/mcir/files/2018/12/ithinkaboutyouraye-1dtoava.mp3
1,Arnstein v. Broadcast Music,False,Hy Zaret et al.,Hy Zaret et al.,https://blogs.law.gwu.edu/mcir/files/2018/12/itallcomesbacktomenow-23j89im.mp3
0,McMahon v. Harms,True,Joseph McMahon,“In Sunny Kansas”,https://blogs.law.gwu.edu/mcir/files/2018/12/insunnykansas-1x06ryw.mp3
0,Toliver v. Sony Music,False,“Independent Lady”,“Independent Lady”,https://blogs.law.gwu.edu/mcir/files/2018/12/independentwomen-26rbymf.mp3
0,Tuff 'N' Rumble v. Profile Records,True,“The Honey Drippers”,“Impeach the President”,https://blogs.law.gwu.edu/mcir/files/2018/12/impeachthepres-plzhdc.mp3
1,Northern Music v. King Record Distribution,False,Henry B. Glover,Henry B. Glover,https://blogs.law.gwu.edu/mcir/files/2018/12/iloveyouyesido-2cvsg4y.mp3
0,Chiate v. Morris,False,“Hello It’s Me / I Just Called to Say.”,“Hello It’s Me / I Just Called to Say.”,https://blogs.law.gwu.edu/mcir/files/2018/12/ijustcalledtosay-qi3emv.mp3
0,Boosey v. Empire Music,True,Charles Marshall,“I Hear You Calling Me”,https://blogs.law.gwu.edu/mcir/files/2018/12/Ihearyoucallingme-23yvn3t.mp3
0,Davilla v. Harms,True,Joseph Davila,“If I were a Spider…”,https://blogs.law.gwu.edu/mcir/files/2018/12/ifiwereaspider-132gxoy.mp3
1,Dorchester Music v. National Broadcasting Company,False,Charles Green,Charles Green,https://blogs.law.gwu.edu/mcir/files/2018/12/idreamed-1vxwel1.mp3
1,Benson v. Coca-Cola,False,Coca-Cola Company,Coca-Cola Company,https://blogs.law.gwu.edu/mcir/files/2018/12/idliketobuytheworldacoke-2bo5bt8.mp3
1,Haas v. Leo Feist,False,Al Piantadosi,Al Piantadosi,https://blogs.law.gwu.edu/mcir/files/2018/12/Ididntraisemyboy-1ihrh1h.mp3
1,Selle v. Gibb,False,“Let It End”,“Let It End”,https://blogs.law.gwu.edu/mcir/files/2018/12/howdeepisyourlove-1769tgm.mp3
0,Boone v. Jackson,True,  Carl Boone “Trajik”,“Holla Back”,https://blogs.law.gwu.edu/mcir/files/2018/12/hollaback-1uu42un.mp3
1,Granite Music v. United Artists,False,Ernest Gold,Ernest Gold,https://blogs.law.gwu.edu/mcir/files/2018/12/hidingthewine-11musxv.mp3
0,Selletti v. Carey,False,“Hero”,“Hero”,https://blogs.law.gwu.edu/mcir/files/2018/12/hero-1l7wt1p.mp3
0,Hein v. Harris,True,Silvio Hein,“Maria Cahill’s Arab Love Song”,https://blogs.law.gwu.edu/mcir/files/2018/12/hein_arab-1m82uir.mp3
0,Jean et al. v. Bug Music,True,"Leo Nocentelli, et al.",“Hand Clapping Song”,https://blogs.law.gwu.edu/mcir/files/2018/12/handclappingsong-1juidlm.mp3
1,Strachborneo v. Arc Music,False,McKinley Morganfield,McKinley Morganfield,https://blogs.law.gwu.edu/mcir/files/2018/12/gotmymojoworkingbillcosby-16vzoyd.mp3
0,Armour v. Knowles,True,Jennifer Armour,“Got a Little Bit of Love for You”,https://blogs.law.gwu.edu/mcir/files/2018/12/gotalittle-uswvjm.mp3
1,Brainard v. Vassar,False,Phil Vassar,“Good Ole Days”,https://blogs.law.gwu.edu/mcir/files/2018/12/goodoledaysvassar-1pcpitq.mp3
0,Brainard v. Vassar,True,Dustin Evans,“Good Ol’ Days to Come”,https://blogs.law.gwu.edu/mcir/files/2018/12/goodoldaysevans-20w0r4l.mp3
1,Marlon Williams v. Calvin Broadus,False,Calvin Broadus,“Ghetto Symphony”,https://blogs.law.gwu.edu/mcir/files/2018/12/ghettosymphony-2a2cnfk.mp3
0,"Bridgeport Music v. Dimension Films, et al.",True,George Clinton,“Get Off Your Ass and Jam”,https://blogs.law.gwu.edu/mcir/files/2018/12/getoff-29zwyz6.mp3
1,Jarvis v. A & M Records,False,Robert Clivilles and David Cole,“Get Dumb! (Free Your Body)”,https://blogs.law.gwu.edu/mcir/files/2018/12/getdumb-1zhatrt.mp3
1,"Francescatti v. Germanotta [""Lady Gaga""]",False, Stefani Germanotta,“Judas”,https://blogs.law.gwu.edu/mcir/files/2018/12/Gaga-tnghvy.wav
0,"Francescatti v. Germanotta [""Lady Gaga""]",True,Rebecca Francescatti,“Juda”,https://blogs.law.gwu.edu/mcir/files/2018/12/Francescatti-ryjvni.wav
0,Gaste v. Morris Kaiserman,False,“Pour Toi”,“Pour Toi”,https://blogs.law.gwu.edu/mcir/files/2018/12/feelings-1711njr.mp3
0,Tin Pan Apple v. Miller Brewing,True,Morales and Robertson aka “Fat Boys”,“Stick ’em”,https://blogs.law.gwu.edu/mcir/files/2018/12/fatboysmorales-1jj7ol2.mp3
1,Jones v. Blige,False,Mary J. Blige,“Family Affair”,https://blogs.law.gwu.edu/mcir/files/2018/12/familyaffair-1kxvehs.mp3
0,McRae v. Smith,False,"“Every Minute, Every Hour, Every Day”","“Every Minute, Every Hour, Every Day”",https://blogs.law.gwu.edu/mcir/files/2018/12/everysecond-syspth.mp3
0,Intersong-USA v. CBS,True,Enrique Chia,“Es”,https://blogs.law.gwu.edu/mcir/files/2018/12/es-28wjsdi.mp3
1,Boosey v. Empire Music,False,Jeff Godfrey,Jeff Godfrey,https://blogs.law.gwu.edu/mcir/files/2018/12/empire_tenn-2ee37z0.mp3
0,[INPLAY] Martel Ellis v. Wyclef Jean,True,Martel Ellis,“Danger”,https://blogs.law.gwu.edu/mcir/files/2018/12/EllisDanger-2c2xwc9.mp3
0,Rui Hua Wang v. Qi Gang Chen,False,“You and Me”,“You and Me”,https://blogs.law.gwu.edu/mcir/files/2018/12/Edited-You-and-Me-vmztzb.mp3
